accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.39,0.39,0.3325,0.0,0.09990530303030302,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.1
0.0451,0.0451,0.6774,0.0,0.2999526515151515,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.3
0.01,0.01,0.7125,0.0,0.5,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.5
0.01,0.01,0.7125,0.0,0.6998106060606061,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.7
0.01,0.01,0.7125,0.0,0.7999526515151515,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.8
0.01,0.01,0.7125,0.0,0.8946496212121212,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.9
0.6564,0.6564,0.06610000000000005,0.0,0.09990530303030302,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.1
0.0119,0.0119,0.7106,0.0,0.2961647727272727,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.3
0.01,0.01,0.7125,0.0,0.4817708333333333,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.5
0.01,0.01,0.7125,0.0,0.6801609848484849,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.7
0.01,0.01,0.7125,0.0,0.7765151515151515,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.8
0.01,0.01,0.7125,0.0,0.875,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.9
